Req ID,Priority,Requirement,Why This Matters,Acceptance Criterion,Currently Met By
REQ-001,Must Have,Every platform must clearly state which credit bureau it pulls from and which scoring model it uses before the consumer creates an account,Consumers currently discover their scores differ across platforms without any explanation. This single disclosure would resolve most of the confusion.,Bureau name and scoring model displayed on the platform homepage and on the score page. No account required to see this information.,None of the 5 platforms assessed
REQ-002,Must Have,"Score ranges must be shown alongside the score with a plain language label for each range — Poor, Fair, Good, Very Good, Excellent",A score of 672 means nothing to a first-time checker without context. Is it good? Is it bad? Most platforms show a gauge but the ranges differ.,Range labels visible on the score page without scrolling. Labels use consistent Canadian benchmarks.,Credit Karma (partial)
REQ-003,Must Have,Each factor affecting the score must be explained in one plain language sentence with a specific action the consumer can take,Showing that credit utilisation ratio is affecting a score is useless if the consumer does not know what credit utilisation ratio means or how to change it.,Every listed factor includes a plain language label and one specific action. No jargon permitted in factor labels.,Credit Karma (partial)
REQ-004,Must Have,Free score access must be available to all Canadian consumers without requiring a Social Insurance Number,Requiring a SIN for free score access creates a privacy barrier that prevents many consumers from engaging with their credit health.,"Basic score access available with name, address, and date of birth only. SIN required only for full report or dispute initiation.",None of the 5 platforms
REQ-005,Must Have,A plain language explanation of why scores differ across platforms must be shown to any consumer who checks their score,58% of consumers who check their score check it on more than one platform. Without this explanation the variance actively undermines consumer trust in the entire credit system.,Explanation shown on score page without requiring the consumer to search for it. Maximum reading level Grade 8.,None of the 5 platforms
REQ-006,Must Have,A dispute process link must be available on the score page for any consumer who believes their information is incorrect,Errors in credit reports affect roughly 1 in 5 Canadian consumers. Most do not know how to dispute them.,Direct link to dispute process on score page. Dispute process completable online without requiring a phone call.,Equifax and TransUnion only — not free platforms
REQ-007,Should Have,Score history must be shown going back at least 12 months so consumers can see whether their actions are having an effect,A static score with no history gives a consumer no way to measure progress. History makes the score meaningful over time.,12 months of score history shown as a chart. Free to access. Updates at minimum monthly.,Borrowell and Credit Karma (partial)
REQ-008,Should Have,Personalised improvement tips must be ranked by expected score impact so consumers know which action to take first,Showing five improvement tips with no priority leaves the consumer guessing. Ranking by impact makes the advice actionable.,Tips ranked by estimated score impact. Highest impact shown first. Expected improvement shown in points.,None of the 5 platforms
REQ-009,Should Have,Score impact simulation — consumer can see what their score would look like if they paid down a balance or closed an account,Consumers make credit decisions regularly. A simulation tool lets them understand the impact before acting.,Simulation available for at least credit utilisation changes and new account inquiries.,None of the 5 platforms
REQ-010,Could Have,"A Canadian credit education hub with plain language guides covering how credit scores work, how to build credit, and how to dispute errors",Financial literacy around credit is low in Canada. A central resource would benefit the entire consumer population not just platform users.,Content available in English and French. Accessible without account creation. Maximum reading level Grade 8.,Financial Consumer Agency of Canada has a partial version but it is not integrated with any score platform
