Consumer ID,Age Group,Province,Equifax Score,TransUnion Score,Borrowell Score,Credit Karma Score,Mogo Score,Highest Score Shown,Lowest Score Shown,Score Variance,Checked Multiple Platforms,Confused by Score Difference,Score Category
CON0001,55 plus,Ontario,654,643,659,605,631,659,631,28,Yes,Yes,Fair
CON0002,35 to 44,Ontario,740,718,735,682,767,767,718,49,No,No,Very Good
CON0003,55 plus,Ontario,673,680,647,638,684,684,647,37,Yes,Yes,Good
CON0004,55 plus,Ontario,854,765,833,720,835,854,765,89,Yes,Yes,Excellent
CON0005,25 to 34,Ontario,701,750,681,707,699,750,681,69,Yes,Yes,Very Good
CON0006,25 to 34,Ontario,688,657,703,613,703,703,657,46,No,No,Good
CON0007,55 plus,Quebec,564,606,580,577,582,606,564,42,Yes,Yes,Fair
CON0008,25 to 34,Ontario,550,591,535,566,556,591,535,56,No,No,Fair
CON0009,25 to 34,Ontario,713,701,696,671,706,713,696,17,Yes,No,Very Good
CON0010,35 to 44,Ontario,697,674,683,642,761,761,674,87,Yes,Yes,Good
CON0011,55 plus,British Columbia,800,772,780,737,809,809,772,37,No,No,Very Good
CON0012,35 to 44,Ontario,678,661,651,616,678,678,651,27,Yes,Yes,Good
CON0013,55 plus,Alberta,465,451,452,419,467,467,451,16,Yes,No,Poor
CON0014,35 to 44,Ontario,559,607,574,556,555,607,555,52,Yes,Yes,Fair
CON0015,55 plus,Other,895,900,871,848,900,900,871,29,Yes,Yes,Excellent
CON0016,35 to 44,Ontario,636,628,606,600,653,653,606,47,No,No,Fair
CON0017,55 plus,Quebec,621,551,611,522,638,638,551,87,Yes,Yes,Fair
CON0018,25 to 34,Ontario,623,617,631,576,620,631,617,14,No,No,Fair
CON0019,25 to 34,Ontario,759,695,750,657,788,788,695,93,No,No,Good
CON0020,35 to 44,British Columbia,562,575,531,544,572,575,531,44,Yes,Yes,Fair
CON0021,55 plus,Ontario,612,655,607,610,624,655,607,48,Yes,Yes,Fair
CON0022,55 plus,British Columbia,586,561,592,539,580,592,561,31,Yes,Yes,Fair
CON0023,35 to 44,Ontario,852,900,841,850,847,900,841,59,Yes,Yes,Excellent
CON0024,25 to 34,Other,767,771,761,730,751,771,751,20,No,No,Very Good
CON0025,35 to 44,Quebec,514,532,519,515,513,532,513,19,Yes,No,Poor
CON0026,25 to 34,Quebec,559,575,547,546,560,575,547,28,No,No,Fair
CON0027,25 to 34,Quebec,690,682,678,632,679,690,678,12,Yes,No,Good
CON0028,25 to 34,Ontario,723,714,708,662,742,742,708,34,No,No,Very Good
CON0029,25 to 34,Other,779,860,774,818,787,860,774,86,No,No,Very Good
CON0030,55 plus,Quebec,720,759,738,712,700,759,700,59,Yes,Yes,Very Good
CON0031,18 to 24,British Columbia,683,653,648,619,692,692,648,44,Yes,Yes,Good
CON0032,55 plus,Alberta,525,553,540,521,548,553,525,28,Yes,Yes,Poor
CON0033,45 to 54,British Columbia,614,646,610,604,607,646,607,39,Yes,Yes,Fair
CON0034,35 to 44,Ontario,709,748,683,687,703,748,683,65,Yes,Yes,Good
CON0035,25 to 34,Ontario,654,605,621,576,650,654,605,49,No,No,Fair
CON0036,55 plus,Alberta,725,719,715,696,713,725,713,12,No,No,Very Good
CON0037,45 to 54,Ontario,832,777,857,739,801,857,777,80,No,No,Excellent
CON0038,25 to 34,Alberta,856,823,843,781,841,856,823,33,Yes,Yes,Excellent
CON0039,35 to 44,British Columbia,735,691,756,660,735,756,691,65,No,No,Very Good
CON0040,25 to 34,Ontario,438,503,459,485,482,503,438,65,Yes,Yes,Poor
CON0041,25 to 34,Quebec,636,618,620,573,654,654,618,36,Yes,Yes,Good
CON0042,18 to 24,Quebec,762,755,733,708,750,762,733,29,Yes,Yes,Very Good
CON0043,25 to 34,Ontario,649,582,632,545,669,669,582,87,Yes,Yes,Fair
CON0044,35 to 44,Ontario,505,432,471,401,498,505,432,73,Yes,Yes,Poor
CON0045,35 to 44,Other,573,526,555,490,580,580,526,54,No,No,Poor
CON0046,45 to 54,Quebec,701,634,694,589,732,732,634,98,Yes,Yes,Good
CON0047,25 to 34,Quebec,683,668,695,632,681,695,668,27,Yes,Yes,Good
CON0048,45 to 54,Ontario,605,625,621,606,609,625,605,20,Yes,No,Fair
CON0049,35 to 44,Alberta,841,757,836,714,878,878,757,121,No,No,Very Good
CON0050,35 to 44,Alberta,797,851,783,791,782,851,782,69,Yes,Yes,Very Good
CON0051,45 to 54,British Columbia,770,761,767,718,798,798,761,37,No,No,Very Good
CON0052,18 to 24,Ontario,677,649,683,607,700,700,649,51,No,No,Good
CON0053,25 to 34,Other,653,617,658,576,662,662,617,45,No,No,Good
CON0054,45 to 54,Alberta,558,601,539,576,561,601,539,62,No,No,Fair
CON0055,35 to 44,Ontario,556,481,546,455,571,571,481,90,Yes,Yes,Poor
CON0056,18 to 24,British Columbia,605,636,614,610,626,636,605,31,Yes,Yes,Fair
CON0057,25 to 34,Ontario,812,817,819,780,820,820,812,8,No,No,Excellent
CON0058,35 to 44,Other,588,556,574,526,592,592,556,36,Yes,Yes,Poor
CON0059,18 to 24,Ontario,535,531,510,507,535,535,510,25,Yes,Yes,Fair
CON0060,35 to 44,Quebec,581,610,598,576,574,610,574,36,Yes,Yes,Fair
CON0061,55 plus,British Columbia,710,769,708,720,738,769,708,61,No,No,Very Good
CON0062,35 to 44,Ontario,820,779,811,738,789,820,779,41,No,No,Excellent
CON0063,45 to 54,Alberta,664,650,665,604,666,666,650,16,Yes,No,Good
CON0064,55 plus,Ontario,793,813,768,752,807,813,768,45,No,No,Excellent
CON0065,45 to 54,Ontario,558,506,562,475,595,595,506,89,No,No,Fair
CON0066,25 to 34,Ontario,707,640,693,623,716,716,640,76,No,No,Good
CON0067,18 to 24,Quebec,614,547,598,540,619,619,547,72,Yes,Yes,Fair
CON0068,25 to 34,Quebec,637,645,619,610,633,645,619,26,Yes,Yes,Good
CON0069,45 to 54,Ontario,563,533,555,502,550,563,533,30,Yes,Yes,Fair
CON0070,25 to 34,British Columbia,729,733,736,692,721,736,721,15,No,No,Good
CON0071,25 to 34,Ontario,781,771,782,730,796,796,771,25,Yes,Yes,Very Good
CON0072,35 to 44,Alberta,706,574,694,555,734,734,574,160,Yes,Yes,Fair
CON0073,45 to 54,British Columbia,576,564,576,543,572,576,564,12,Yes,No,Fair
CON0074,18 to 24,Quebec,644,662,654,614,701,701,644,57,No,No,Fair
CON0075,55 plus,Ontario,670,643,663,588,685,685,643,42,No,No,Good
CON0076,25 to 34,Ontario,522,559,514,531,550,559,514,45,Yes,Yes,Poor
CON0077,45 to 54,British Columbia,775,741,764,701,806,806,741,65,No,No,Very Good
CON0078,35 to 44,Quebec,798,775,778,741,794,798,775,23,No,No,Excellent
CON0079,25 to 34,Ontario,679,689,685,650,659,689,659,30,No,No,Good
CON0080,35 to 44,Ontario,538,552,533,523,543,552,533,19,Yes,No,Fair
CON0081,35 to 44,Ontario,900,884,879,850,882,900,879,21,Yes,Yes,Excellent
CON0082,35 to 44,British Columbia,645,623,613,593,669,669,613,56,Yes,Yes,Good
CON0083,25 to 34,Other,642,580,612,540,669,669,580,89,No,No,Fair
CON0084,35 to 44,Other,563,549,570,528,563,570,549,21,No,No,Fair
CON0085,45 to 54,Ontario,570,577,578,545,548,578,548,30,Yes,Yes,Fair
CON0086,25 to 34,Ontario,750,746,738,717,749,750,738,12,Yes,No,Very Good
CON0087,45 to 54,British Columbia,629,690,623,646,634,690,623,67,No,No,Fair
CON0088,25 to 34,Other,595,629,554,594,620,629,554,75,Yes,Yes,Fair
CON0089,35 to 44,Alberta,771,788,792,723,795,795,771,24,Yes,Yes,Excellent
CON0090,25 to 34,British Columbia,669,659,664,629,689,689,659,30,Yes,Yes,Fair
CON0091,45 to 54,Ontario,597,597,613,557,595,613,595,18,No,No,Fair
CON0092,35 to 44,Ontario,574,576,583,555,532,583,532,51,Yes,Yes,Fair
CON0093,45 to 54,British Columbia,480,522,464,481,480,522,464,58,No,No,Poor
CON0094,45 to 54,Alberta,758,748,751,701,737,758,737,21,No,No,Very Good
CON0095,18 to 24,Quebec,627,589,598,557,627,627,589,38,No,No,Fair
CON0096,35 to 44,Quebec,829,804,827,745,805,829,804,25,No,No,Excellent
CON0097,35 to 44,Alberta,848,814,857,775,868,868,814,54,Yes,Yes,Excellent
CON0098,35 to 44,Ontario,867,812,855,771,865,867,812,55,Yes,Yes,Excellent
CON0099,25 to 34,Quebec,845,870,827,827,864,870,827,43,No,No,Excellent
CON0100,25 to 34,Quebec,616,607,603,564,632,632,603,29,Yes,Yes,Fair
CON0101,45 to 54,Quebec,750,785,742,739,775,785,742,43,Yes,Yes,Very Good
CON0102,25 to 34,Quebec,564,593,553,563,544,593,544,49,No,No,Fair
CON0103,35 to 44,Ontario,565,561,536,514,540,565,536,29,Yes,Yes,Fair
CON0104,18 to 24,British Columbia,515,546,516,515,507,546,507,39,No,No,Poor
CON0105,45 to 54,Quebec,454,465,439,444,439,465,439,26,Yes,Yes,Poor
CON0106,55 plus,Other,900,894,900,850,881,900,881,19,No,No,Excellent
CON0107,35 to 44,Quebec,596,587,593,539,606,606,587,19,No,No,Fair
CON0108,55 plus,Ontario,710,703,709,673,698,710,698,12,Yes,No,Good
CON0109,25 to 34,British Columbia,711,743,720,716,747,747,711,36,Yes,Yes,Very Good
CON0110,25 to 34,Quebec,701,653,702,615,661,702,653,49,Yes,Yes,Good
CON0111,25 to 34,British Columbia,640,590,637,559,641,641,590,51,No,No,Fair
CON0112,25 to 34,Ontario,688,671,666,642,688,688,666,22,Yes,Yes,Good
CON0113,45 to 54,Ontario,707,697,684,656,707,707,684,23,Yes,Yes,Very Good
CON0114,25 to 34,Ontario,635,630,620,599,673,673,620,53,No,No,Fair
CON0115,35 to 44,Ontario,859,858,860,809,873,873,858,15,Yes,No,Excellent
CON0116,35 to 44,Quebec,670,669,673,647,682,682,669,13,Yes,No,Good
CON0117,45 to 54,Alberta,658,708,664,671,659,708,658,50,Yes,Yes,Good
CON0118,35 to 44,Other,453,456,454,418,471,471,453,18,Yes,No,Poor
CON0119,25 to 34,Other,803,796,803,742,790,803,790,13,Yes,No,Very Good
CON0120,45 to 54,Quebec,557,575,565,551,540,575,540,35,Yes,Yes,Poor
CON0121,25 to 34,Quebec,612,576,620,539,619,620,576,44,Yes,Yes,Fair
CON0122,45 to 54,Alberta,846,838,852,794,853,853,838,15,Yes,No,Very Good
CON0123,45 to 54,Alberta,549,548,550,508,573,573,548,25,No,No,Fair
CON0124,25 to 34,Ontario,791,761,801,721,819,819,761,58,No,No,Very Good
CON0125,45 to 54,Quebec,598,500,581,487,561,598,500,98,No,No,Fair
CON0126,25 to 34,Ontario,897,887,882,843,900,900,882,18,Yes,No,Excellent
CON0127,45 to 54,Ontario,729,729,729,686,729,729,729,0,Yes,No,Very Good
CON0128,18 to 24,Ontario,644,601,614,563,644,644,601,43,No,No,Fair
CON0129,45 to 54,Ontario,618,606,599,564,626,626,599,27,Yes,Yes,Fair
CON0130,35 to 44,Ontario,683,583,680,559,691,691,583,108,Yes,Yes,Fair
CON0131,25 to 34,British Columbia,698,672,706,650,702,706,672,34,No,No,Good
CON0132,18 to 24,Other,492,485,482,459,491,492,482,10,No,No,Poor
CON0133,25 to 34,Alberta,545,541,525,512,550,550,525,25,No,No,Fair
CON0134,35 to 44,British Columbia,723,817,733,771,749,817,723,94,Yes,Yes,Very Good
CON0135,55 plus,Ontario,647,632,657,605,664,664,632,32,No,No,Fair
CON0136,45 to 54,Quebec,699,735,702,698,725,735,699,36,Yes,Yes,Very Good
CON0137,35 to 44,Quebec,655,677,625,617,670,677,625,52,No,No,Good
CON0138,25 to 34,Ontario,730,755,730,704,738,755,730,25,Yes,Yes,Very Good
CON0139,45 to 54,Quebec,661,677,665,656,680,680,661,19,Yes,No,Fair
CON0140,35 to 44,Ontario,562,559,527,510,575,575,527,48,Yes,Yes,Poor
CON0141,35 to 44,Ontario,699,733,713,683,725,733,699,34,Yes,Yes,Good
CON0142,25 to 34,Ontario,588,547,582,510,601,601,547,54,No,No,Fair
CON0143,45 to 54,Quebec,666,706,664,662,656,706,656,50,No,No,Good
CON0144,45 to 54,British Columbia,713,704,704,649,754,754,704,50,No,No,Very Good
CON0145,45 to 54,Quebec,738,695,751,661,717,751,695,56,No,No,Very Good
CON0146,25 to 34,Other,530,498,531,466,541,541,498,43,Yes,Yes,Poor
CON0147,45 to 54,Alberta,694,721,702,694,715,721,694,27,Yes,Yes,Good
CON0148,45 to 54,Alberta,628,597,633,573,659,659,597,62,Yes,Yes,Fair
CON0149,45 to 54,British Columbia,591,559,577,520,599,599,559,40,Yes,Yes,Fair
CON0150,55 plus,British Columbia,655,537,655,490,690,690,537,153,Yes,Yes,Fair
CON0151,25 to 34,Quebec,609,631,599,597,603,631,599,32,No,No,Fair
CON0152,25 to 34,Other,626,653,597,612,658,658,597,61,Yes,Yes,Fair
CON0153,18 to 24,British Columbia,484,454,495,427,490,495,454,41,Yes,Yes,Poor
CON0154,45 to 54,Ontario,764,824,765,785,745,824,745,79,Yes,Yes,Very Good
CON0155,18 to 24,Ontario,705,762,717,718,708,762,705,57,No,No,Very Good
CON0156,18 to 24,British Columbia,513,499,507,469,530,530,499,31,No,No,Poor
CON0157,25 to 34,Ontario,630,650,614,625,635,650,614,36,Yes,Yes,Fair
CON0158,18 to 24,British Columbia,606,567,612,558,634,634,567,67,Yes,Yes,Fair
CON0159,25 to 34,Ontario,790,753,795,692,755,795,753,42,No,No,Very Good
CON0160,18 to 24,British Columbia,622,535,599,504,609,622,535,87,No,No,Fair
CON0161,18 to 24,Quebec,789,686,789,635,768,789,686,103,Yes,Yes,Very Good
CON0162,55 plus,British Columbia,672,655,672,629,667,672,655,17,Yes,No,Good
CON0163,18 to 24,Ontario,655,627,670,597,646,670,627,43,No,No,Good
CON0164,55 plus,British Columbia,604,586,625,541,607,625,586,39,No,No,Good
CON0165,18 to 24,Quebec,655,607,634,564,654,655,607,48,Yes,Yes,Good
CON0166,25 to 34,Other,574,568,557,555,586,586,557,29,Yes,Yes,Fair
CON0167,35 to 44,Other,892,900,896,837,900,900,892,8,Yes,No,Excellent
CON0168,25 to 34,Quebec,512,542,509,513,499,542,499,43,No,No,Poor
CON0169,25 to 34,Quebec,511,523,524,482,505,524,505,19,Yes,No,Fair
CON0170,25 to 34,British Columbia,818,746,814,697,816,818,746,72,No,No,Very Good
CON0171,55 plus,British Columbia,685,597,681,570,673,685,597,88,Yes,Yes,Fair
CON0172,55 plus,Alberta,546,571,553,550,557,571,546,25,No,No,Fair
CON0173,18 to 24,Alberta,776,792,754,752,787,792,754,38,Yes,Yes,Very Good
CON0174,25 to 34,Other,578,587,556,550,577,587,556,31,No,No,Fair
CON0175,35 to 44,Quebec,504,505,494,490,503,505,494,11,Yes,No,Poor
CON0176,55 plus,Ontario,758,767,746,734,757,767,746,21,Yes,Yes,Very Good
